machine,timestamp,temperature,pressure_bar,panne,temperature_lag1,temperature_lag3,temperature_lag6,temperature_roll3_mean,temperature_roll6_mean,pressure_bar_lag1,pressure_bar_lag3,pressure_bar_lag6,pressure_bar_roll3_mean,pressure_bar_roll6_mean,temperature_std24,temperature_delta6,pressure_bar_std24,pressure_bar_delta6,panne_v1,panne_v2
MACH-01,2025-08-26 12:00:00,35.86,196.72,0,35.6,36.45,36.12,36.220000000000006,35.88166666666667,196.734,197.715,196.633,196.976,196.98483333333334,1.2737664859015774,-0.021666666666668277,0.6281149045623107,-0.2648333333333426,0,0
MACH-01,2025-08-26 13:00:00,36.87,197.004,0,35.86,36.61,35.6,36.02333333333333,35.83833333333334,196.72,196.479,196.765,196.64433333333332,196.99933333333334,1.252497504987532,1.0316666666666592,0.601754954812184,0.004666666666651054,0,0
MACH-01,2025-08-26 14:00:00,38.3,197.36,0,36.87,35.6,34.91,36.11000000000001,36.05,197.004,196.734,197.583,196.81933333333333,197.0391666666667,1.2034675176065448,2.25,0.5858907560475456,0.32083333333332575,0,0
MACH-01,2025-08-26 15:00:00,38.12,196.154,0,38.3,35.86,36.45,37.01,36.615,197.36,196.72,197.715,197.028,197.00199999999998,1.2214901126239581,1.5049999999999955,0.5916999561392772,-0.8479999999999848,0,0
MACH-01,2025-08-26 16:00:00,38.17,195.999,0,38.12,36.87,36.61,37.76333333333333,36.89333333333334,196.154,197.004,196.479,196.83933333333334,196.74183333333335,1.2180195674399743,1.2766666666666637,0.5888811991112094,-0.7428333333333512,1,0
MACH-01,2025-08-26 17:00:00,38.83,196.712,0,38.17,38.3,35.6,38.196666666666665,37.15333333333333,195.999,197.36,196.734,196.5043333333333,196.66183333333333,1.2136424272315414,1.6766666666666694,0.5939267879223481,0.050166666666655146,0,0
MACH-01,2025-08-26 18:00:00,38.39,197.39,0,38.83,38.12,35.86,38.37333333333333,37.69166666666666,196.712,196.154,196.72,196.28833333333333,196.6581666666667,1.2492727296075798,0.6983333333333377,0.5764153396560877,0.7318333333332987,0,0
MACH-01,2025-08-26 19:00:00,40.14,196.594,0,38.39,38.17,36.87,38.46333333333333,38.11333333333333,197.39,195.999,197.004,196.7003333333333,196.7698333333333,1.246609905828579,2.026666666666671,0.585471984337794,-0.17583333333331552,0,0
MACH-01,2025-08-26 20:00:00,39.35,196.929,0,40.14,38.83,38.3,39.12,38.65833333333333,196.594,196.712,197.36,196.89866666666663,196.7015,1.3777169329613461,0.69166666666667,0.5702358953238388,0.22749999999999204,0,0
MACH-01,2025-08-26 21:00:00,38.8,196.399,0,39.35,38.39,38.12,39.29333333333333,38.833333333333336,196.929,197.39,196.154,196.971,196.62966666666668,1.4107998406847757,-0.033333333333338544,0.5583972514941138,-0.23066666666667857,0,0
MACH-01,2025-08-26 22:00:00,39.46,196.111,0,38.8,40.14,38.17,39.43,38.946666666666665,196.399,196.594,195.999,196.64066666666668,196.67049999999998,1.4060453891548572,0.5133333333333354,0.5485597060322993,-0.5594999999999857,0,0
MACH-01,2025-08-26 23:00:00,39.1,196.551,0,39.46,39.35,38.83,39.20333333333333,39.16166666666667,196.111,196.929,196.712,196.47966666666665,196.68916666666667,1.4318787238596344,-0.061666666666667425,0.5489535427473405,-0.13816666666667743,0,0
MACH-01,2025-08-27 00:00:00,39.31,196.373,0,39.1,38.8,38.39,39.12,39.20666666666666,196.551,196.399,197.39,196.35366666666667,196.66233333333332,1.4331841007584005,0.10333333333333883,0.5373140915433074,-0.28933333333333167,0,0
MACH-01,2025-08-27 01:00:00,39.27,196.622,0,39.31,39.46,40.14,39.29,39.36,196.373,196.111,196.594,196.345,196.49283333333332,1.4247906024639425,-0.0899999999999963,0.5007769886798902,0.1291666666666913,0,0
MACH-01,2025-08-27 02:00:00,38.91,196.125,0,39.27,39.1,39.35,39.22666666666667,39.214999999999996,196.622,196.551,196.929,196.51533333333336,196.49749999999997,1.457904988852751,-0.3049999999999997,0.4416293859026439,-0.37249999999997385,0,0
MACH-01,2025-08-27 03:00:00,37.68,196.581,0,38.91,39.31,38.8,39.163333333333334,39.141666666666666,196.125,196.373,196.399,196.37333333333333,196.36350000000002,1.4767392104404133,-1.461666666666666,0.45785629786292925,0.21749999999997272,0,0
MACH-01,2025-08-27 04:00:00,36.92,196.148,0,37.68,39.27,39.46,38.620000000000005,38.955000000000005,196.581,196.622,196.111,196.44266666666667,196.3938333333333,1.4766815519254999,-2.0350000000000037,0.4567215381452813,-0.2458333333333087,0,0
MACH-01,2025-08-27 05:00:00,36.4,195.958,0,36.92,38.91,39.1,37.836666666666666,38.531666666666666,196.148,196.125,196.551,196.28466666666665,196.39999999999998,1.4854057538676726,-2.1316666666666677,0.4636706864087673,-0.44199999999997885,0,0
MACH-01,2025-08-27 06:00:00,34.65,196.792,0,36.4,37.68,39.31,37.0,38.08166666666667,195.958,196.581,196.373,196.22899999999996,196.30116666666666,1.5064180930321078,-3.431666666666672,0.4864738084463995,0.49083333333334167,0,1
MACH-01,2025-08-27 07:00:00,36.18,196.147,0,34.65,36.92,39.27,35.99,37.305,196.792,196.148,196.622,196.29933333333335,196.37099999999998,1.6010211867991342,-1.125,0.4872911146684073,-0.22399999999998954,0,0
MACH-01,2025-08-27 08:00:00,36.09,196.6,0,36.18,36.4,38.91,35.74333333333333,36.79,196.147,195.958,196.125,196.29899999999998,196.29183333333333,1.5727949828159467,-0.6999999999999957,0.49762383208691624,0.3081666666666649,0,0
MACH-01,2025-08-27 09:00:00,35.69,196.708,0,36.09,34.65,37.68,35.64,36.32,196.6,196.792,196.581,196.513,196.371,1.4992150119892451,-0.6300000000000026,0.454581602103532,0.3369999999999891,0,0
MACH-01,2025-08-27 10:00:00,35.34,196.794,0,35.69,36.18,36.92,35.98666666666667,35.98833333333334,196.708,196.147,196.148,196.48499999999999,196.39216666666667,1.5349717931600892,-0.6483333333333334,0.3879698460567192,0.40183333333334303,0,0
MACH-01,2025-08-27 11:00:00,36.98,196.066,0,35.34,36.09,36.4,35.70666666666667,35.725,196.794,196.6,195.958,196.7006666666667,196.49983333333333,1.594759022730301,1.2549999999999955,0.39079611933085734,-0.4338333333333253,0,0
MACH-01,2025-08-27 12:00:00,36.47,195.807,0,36.98,35.69,34.65,36.00333333333333,35.821666666666665,196.066,196.708,196.792,196.52266666666665,196.51783333333333,1.5419002369088954,0.6483333333333334,0.401701956625207,-0.7108333333333405,0,0
MACH-01,2025-08-27 13:00:00,35.91,196.071,0,36.47,35.34,36.18,36.26333333333333,36.125,195.807,196.794,196.147,196.22233333333335,196.35366666666664,1.5150374271935003,-0.2150000000000034,0.4259098360049862,-0.28266666666664264,0,0
