machine,timestamp,temperature,pressure_bar,panne,temperature_lag1,temperature_lag3,temperature_lag6,temperature_roll3_mean,temperature_roll6_mean,pressure_bar_lag1,pressure_bar_lag3,pressure_bar_lag6,pressure_bar_roll3_mean,pressure_bar_roll6_mean,temperature_std24,temperature_delta6,pressure_bar_std24,pressure_bar_delta6,panne_v1,panne_v2
MACH-01,2025-10-01 00:00:00,38.58,196.011,0,40.56,39.2,39.07,39.693333333333335,39.56333333333333,196.296,196.503,195.979,196.444,196.27066666666667,1.626502426966404,-0.9833333333333343,0.41408347369631227,-0.25966666666667493,0,0
MACH-01,2025-10-01 01:00:00,38.62,196.008,0,38.58,39.32,39.61,39.48666666666667,39.48166666666666,196.011,196.533,196.211,196.27999999999997,196.27599999999998,1.6363772287534044,-0.8616666666666646,0.3596780540096912,-0.26799999999997226,0,0
MACH-01,2025-10-01 02:00:00,37.7,196.759,0,38.62,40.56,39.62,39.25333333333334,39.31666666666667,196.008,196.296,196.102,196.10500000000002,196.24216666666666,1.6482427511342874,-1.6166666666666671,0.3706636723109249,0.5168333333333237,0,0
MACH-01,2025-10-01 03:00:00,37.54,195.777,0,37.7,38.58,39.2,38.3,38.99666666666667,196.759,196.011,196.503,196.25933333333333,196.35166666666666,1.648060564174892,-1.4566666666666706,0.36790321466702186,-0.5746666666666727,0,0
MACH-01,2025-10-01 04:00:00,36.65,196.28,0,37.54,38.62,39.32,37.953333333333326,38.720000000000006,195.777,196.008,196.533,196.18133333333333,196.23066666666668,1.644266058022628,-2.0700000000000074,0.3324301713753997,0.04933333333332257,0,0
MACH-01,2025-10-01 05:00:00,36.32,196.097,0,36.65,37.7,40.56,37.29666666666667,38.275,196.28,196.759,196.296,196.27200000000002,196.1885,1.6177296669599561,-1.9549999999999983,0.33234358585368107,-0.09149999999999636,0,0
MACH-01,2025-10-01 06:00:00,35.38,196.224,0,36.32,37.54,38.58,36.836666666666666,37.568333333333335,196.097,195.777,196.011,196.05133333333333,196.15533333333335,1.6206833412957868,-2.1883333333333326,0.32559973649551116,0.068666666666644,0,0
MACH-01,2025-10-01 07:00:00,36.03,195.468,0,35.38,36.65,38.62,36.11666666666667,37.035000000000004,196.224,196.28,196.008,196.20033333333333,196.19083333333333,1.655002079774532,-1.0050000000000026,0.3143137336938756,-0.722833333333341,0,0
MACH-01,2025-10-01 08:00:00,35.6,196.582,0,36.03,36.32,37.7,35.910000000000004,36.60333333333333,195.468,196.097,196.759,195.92966666666666,196.10083333333333,1.6545601784335395,-1.0033333333333303,0.34788337209466913,0.48116666666666674,0,0
MACH-01,2025-10-01 09:00:00,36.1,196.796,0,35.6,35.38,37.54,35.669999999999995,36.25333333333334,196.582,196.224,195.777,196.09133333333332,196.0713333333333,1.662538438043184,-0.15333333333333599,0.3372210817420416,0.7246666666666783,0,0
