machine,timestamp,temperature,pressure_bar,panne,temperature_lag1,temperature_lag3,temperature_lag6,temperature_roll3_mean,temperature_roll6_mean,pressure_bar_lag1,pressure_bar_lag3,pressure_bar_lag6,pressure_bar_roll3_mean,pressure_bar_roll6_mean,temperature_std24,temperature_delta6,pressure_bar_std24,pressure_bar_delta6,panne_v1,panne_v2
MACH-01,2025-09-01 00:00:00,39.94,195.892,0,38.62,39.27,39.46,38.800000000000004,39.288333333333334,196.335,196.581,197.028,196.42333333333332,196.44116666666665,1.383753297523015,0.6516666666666637,0.4713000213716746,-0.5491666666666504,0,0
MACH-01,2025-09-01 01:00:00,38.31,196.524,0,39.94,38.51,39.87,39.02333333333333,39.36833333333333,195.892,196.354,195.602,196.19366666666667,196.25183333333334,1.4364234469127124,-1.05833333333333,0.4798627502296726,0.27216666666666356,0,0
MACH-01,2025-09-01 02:00:00,38.1,195.62,0,38.31,38.62,40.0,38.95666666666667,39.108333333333334,196.524,196.335,196.747,196.25033333333332,196.4055,1.3853157830764071,-1.0083333333333329,0.47975972246986454,-0.7854999999999848,0,0
MACH-01,2025-09-01 03:00:00,38.14,196.698,0,38.1,39.94,39.27,38.78333333333333,38.791666666666664,195.62,195.892,196.581,196.01199999999997,196.21766666666667,1.3829738488730308,-0.6516666666666637,0.5062316001308383,0.48033333333333417,0,0
MACH-01,2025-09-01 04:00:00,36.93,196.123,0,38.14,38.31,38.51,38.18333333333333,38.60333333333333,196.698,196.524,196.354,196.2806666666667,196.23716666666667,1.3828954475449677,-1.673333333333332,0.5093493985297541,-0.11416666666667652,0,0
MACH-01,2025-09-01 05:00:00,37.14,196.694,0,36.93,38.1,38.62,37.723333333333336,38.339999999999996,196.123,195.62,196.335,196.14700000000002,196.19866666666667,1.3947798641955067,-1.1999999999999957,0.498131012319851,0.4953333333333205,0,0
MACH-01,2025-09-01 06:00:00,36.08,197.009,0,37.14,38.14,39.94,37.403333333333336,38.093333333333334,196.694,196.698,195.892,196.505,196.2585,1.399238664624348,-2.0133333333333354,0.4754891226906447,0.7504999999999882,0,1
MACH-01,2025-09-01 07:00:00,35.6,195.983,0,36.08,36.93,38.31,36.71666666666667,37.449999999999996,197.009,196.123,196.524,196.60866666666666,196.44466666666668,1.409157164067762,-1.8499999999999943,0.49089051732541733,-0.4616666666666731,0,0
MACH-01,2025-09-01 08:00:00,36.96,195.691,0,35.6,37.14,38.1,36.27333333333333,36.998333333333335,195.983,196.694,195.62,196.56199999999998,196.3545,1.4762339471325974,-0.038333333333333997,0.497934732860063,-0.6634999999999991,0,0
MACH-01,2025-09-01 09:00:00,36.43,196.568,0,36.96,36.08,38.14,36.21333333333334,36.80833333333333,195.691,197.009,196.698,196.22766666666666,196.36633333333336,1.4233485217938626,-0.3783333333333303,0.5124768711642291,0.20166666666665378,0,0
